GeneID,Length,logFC,logCPM,F,PValue,FDR,
,,,,,,,
Hmgcr,2163,0.020810532,6.638121988,0.030193513,0.867537228,0.977697256,
,,,,,,,
Hydr2,3984,0.016222001,6.822092365,0.030128261,0.867678784,0.977697256,
,,,,,,,
CG12034,1214,0.040358398,2.021392742,0.029916368,0.868139554,0.977697256,
,,,,,,,
EF-G2,2223,0.018413229,4.995156523,0.029876284,0.868226908,0.977697256,
,,,,,,,
Act5C,202,-0.023217892,9.005709104,0.029711727,0.868586159,0.977697256,
,,,,,,,
CG2182,600,0.01621946,6.741136858,0.029701939,0.868607562,0.977697256,
,,,,,,,
Vps28,845,-0.016170926,6.054106825,0.029689467,0.868634836,0.977697256,
,,,,,,,
TfIIS,1351,-0.026481231,6.828502101,0.029677625,0.868660738,0.977697256,
,,,,,,,
CG10927,789,0.029618837,1.4789976,0.029634804,0.868754448,0.977697256,
,,,,,,,
CG5969,298,-0.01860513,5.654975537,0.02955321,0.868933199,0.977697256,
,,,,,,,
Trc8,3045,-0.016253937,7.62650157,0.029461271,0.869134923,0.977697256,
,,,,,,,
CG9104,1748,0.019351947,5.46962246,0.02934495,0.869390607,0.977697256,
,,,,,,,
Cas,3175,0.014567618,7.691768048,0.029308222,0.869471449,0.977697256,
,,,,,,,
Dis3,3252,0.017386477,7.450883057,0.029300469,0.869488519,0.977697256,
,,,,,,,
Upf2,3621,0.016857941,6.921121166,0.029270733,0.869554019,0.977697256,
,,,,,,,
CG31648,960,0.017102103,5.62034707,0.029231085,0.869641403,0.977697256,
,,,,,,,
piwi_v2,3473,-0.013960056,9.306555986,0.029209145,0.869689785,0.977697256,
,,,,,,,
Psn,2039,0.014348435,6.456105278,0.028758493,0.870687752,0.97840546,
,,,,,,,
CG6984,1010,-0.017965233,3.631783568,0.028723392,0.870765823,0.97840546,
,,,,,,,
tej_v2,760,-0.023455921,5.403140787,0.028612734,0.871012263,0.97840546,
,,,,,,,
scat,3135,-0.013797227,6.964644429,0.028544749,0.871163914,0.97840546,
,,,,,,,
qless,3759,0.017125618,7.486339846,0.028492903,0.871279687,0.97840546,
,,,,,,,
CG18600,1134,0.019611477,4.537954436,0.028366265,0.871562936,0.97840546,
,,,,,,,
CG17162,2025,0.014086834,6.731714215,0.028176912,0.871987679,0.97840546,
,,,,,,,
CG5001,1976,-0.014454555,8.174127266,0.028147104,0.872054676,0.97840546,
,,,,,,,
BI-1,1132,0.015281775,6.653048766,0.027913912,0.872580074,0.97840546,
,,,,,,,
CG17259,1736,0.021043726,8.082128724,0.027780941,0.87288068,0.97840546,
,,,,,,,
CG6833,1102,0.017720563,8.303094115,0.027753558,0.872942678,0.97840546,
,,,,,,,
retm,3338,0.014414917,5.991496142,0.027738695,0.872976341,0.97840546,
,,,,,,,
FBgn0021818 eval 0.006,497,-0.018666343,5.281520329,0.027734242,0.872986429,0.97840546,
,,,,,,,
CG15117_v3,2437,0.019666482,5.15248128,0.027725005,0.873007357,0.97840546,
,,,,,,,
CG42233,2913,-0.017906698,8.106020926,0.027655741,0.873164399,0.97840546,
,,,,,,,
CG11586,1029,-0.016807098,5.096096507,0.027620671,0.873243991,0.97840546,
,,,,,,,
CycG,1745,-0.033085279,8.72363315,0.027591203,0.873310908,0.97840546,
,,,,,,,
CG3634,1732,-0.022787118,2.54128938,0.02755702,0.873388581,0.97840546,
,,,,,,,
PpD3,1944,-0.020852642,6.856408176,0.02751543,0.87348315,0.97840546,
,,,,,,,
Ih,2814,0.016881028,4.690793048,0.027505957,0.873504701,0.97840546,
,,,,,,,
CG3061,1862,0.019576555,6.033021792,0.027474715,0.873575801,0.97840546,
,,,,,,,
how,4154,0.017567926,6.567023369,0.027463417,0.873601523,0.97840546,
,,,,,,,
tgo,3100,0.017269836,6.999829231,0.027407081,0.873729864,0.97840546,
,,,,,,,
MED25,2359,-0.019994645,6.817311542,0.027224542,0.874146655,0.978560688,
,,,,,,,
PSR,1465,-0.020062429,7.986660159,0.027216494,0.874165063,0.978560688,
,,,,,,,
FBgn0033582 eval 5e-04,308,-0.013409358,8.583657402,0.027061641,0.874519824,0.978791777,
,,,,,,,
bgm_v2,2439,0.016939446,6.193669935,0.026966525,0.874738247,0.978870221,
,,,,,,,
GC1,1617,-0.020023653,5.679792281,0.02689027,0.874913647,0.978900502,
,,,,,,,
CG13624,4597,-0.014501266,7.600846429,0.026591236,0.875603964,0.978994213,
,,,,,,,
CG9018,2257,0.013050593,7.249454279,0.026563493,0.875668209,0.978994213,
,,,,,,,
CG9150_v2,724,0.021373189,2.835788679,0.026514735,0.875781207,0.978994213,
,,,,,,,
Pdsw,634,0.018079302,6.393453549,0.026504882,0.875804053,0.978994213,
,,,,,,,
phtf,3263,0.018345636,8.412213605,0.026417584,0.876006674,0.978994213,
,,,,,,,
Dic1,2106,-0.013198999,6.891929629,0.026275607,0.876336941,0.978994213,
,,,,,,,
CG7920,1930,-0.017368299,6.537740824,0.026204165,0.876503479,0.978994213,
,,,,,,,
CG8675,815,0.027314598,4.018993199,0.026088708,0.876773113,0.978994213,
,,,,,,,
Stam,3805,0.013371292,8.50249805,0.026069945,0.87681699,0.978994213,
,,,,,,,
CG12179,3087,-0.014581358,7.662745098,0.02595345,0.877089773,0.978994213,
,,,,,,,
Surf1,950,0.029292544,4.359530346,0.025946242,0.877106671,0.978994213,
,,,,,,,
CG4848,2663,0.014809379,6.76953588,0.025860994,0.877306717,0.978994213,
,,,,,,,
Scsalpha,1748,0.013581616,8.415958749,0.025854178,0.877322726,0.978994213,
,,,,,,,
Myt1,2160,-0.013749682,7.102334374,0.025844333,0.877345854,0.978994213,
,,,,,,,
Lerp,3156,0.020864911,5.88575875,0.025834312,0.877369397,0.978994213,
,,,,,,,
temp,2743,-0.013291924,6.128166486,0.025826235,0.877388379,0.978994213,
,,,,,,,
ZnT49B,2585,0.02151002,6.224371987,0.025770502,0.877519437,0.978994213,
,,,,,,,
CG9663,1940,0.019617429,2.751840144,0.02543586,0.878309448,0.979058972,
,,,,,,,
S6kII,3228,0.014802746,7.065237293,0.02530477,0.878620378,0.979058972,
,,,,,,,
nemy,632,-0.035085999,1.194122859,0.025225903,0.878807841,0.979058972,
,,,,,,,
EndoB,1584,-0.014065798,5.585345401,0.025220638,0.878820367,0.979058972,
,,,,,,,
CG15406,1364,0.018520363,2.946710466,0.025159656,0.878965541,0.979058972,
,,,,,,,
Ect3,2186,-0.015965075,4.623337328,0.025149677,0.878989314,0.979058972,
,,,,,,,
Orc1,5972,0.016450901,8.68842088,0.025110033,0.879083806,0.979058972,
,,,,,,,
IntS2,3391,-0.013793755,6.290225692,0.025089651,0.879132417,0.979058972,
,,,,,,,
Sardh,2923,-0.016987311,7.534954957,0.024861914,0.879676957,0.979058972,
,,,,,,,
CG5877,2873,0.013918788,5.40444015,0.024735103,0.879981286,0.979058972,
,,,,,,,
Opa1_v2,2507,-0.016433915,7.782481827,0.024712704,0.880035124,0.979058972,
,,,,,,,
CG33120,2236,-0.016948209,6.356000399,0.02463624,0.880219101,0.979058972,
,,,,,,,
tou,1235,-0.037020388,3.865028685,0.024597435,0.88031258,0.979058972,
,,,,,,,
Gen,2372,0.014885312,6.37110963,0.024494144,0.880561775,0.979058972,
,,,,,,,
chb,6828,-0.023808954,9.443404859,0.02446439,0.880633658,0.979058972,
,,,,,,,
Pc,3020,0.016440059,6.794863949,0.024449292,0.88067015,0.979058972,
,,,,,,,
CG6414_v3,1905,0.013007433,7.886299092,0.024440812,0.880690652,0.979058972,
,,,,,,,
CG12081,2138,0.031267714,6.635724638,0.024440753,0.880690795,0.979058972,
,,,,,,,
cathD,1455,0.0158903,7.479798035,0.024407291,0.880771728,0.979058972,
,,,,,,,
CG44002,1473,-0.027910725,2.3803275,0.024350593,0.880908996,0.979058972,
,,,,,,,
CG14435,3338,0.013654383,6.431369386,0.024275377,0.881091348,0.979058972,
,,,,,,,
blw,2085,0.016068274,10.38552415,0.024267515,0.881110426,0.979058972,
,,,,,,,
CG31915,2513,0.020555487,4.960786632,0.024230988,0.8811991,0.979058972,
,,,,,,,
CG6678,1207,-0.018098255,3.40531011,0.02422425,0.881215465,0.979058972,
,,,,,,,
jhamt_v4,786,0.015240561,5.176347167,0.024194972,0.881286603,0.979058972,
,,,,,,,
Nelf-E,806,0.015035628,4.559082895,0.023877454,0.882060937,0.97913295,
,,,,,,,
CG10189,1286,-0.028016578,2.882994962,0.023817671,0.88220732,0.97913295,
,,,,,,,
GstT3_v2,1290,-0.017555758,6.613340812,0.023723777,0.88243761,0.97913295,
,,,,,,,
Sik3,6957,0.012681529,6.825334718,0.023680659,0.88254352,0.97913295,
,,,,,,,
CG14100,1370,0.017763818,6.167180575,0.023621076,0.882690036,0.97913295,
,,,,,,,
HIP-R,1673,0.016771577,7.84867542,0.023565905,0.882825873,0.97913295,
,,,,,,,
l(2)k14505,920,-0.015384624,5.044596249,0.023559053,0.882842753,0.97913295,
,,,,,,,
CG32280,1591,-0.01592189,6.587904382,0.02345376,0.883102488,0.97913295,
,,,,,,,
CG2247,3709,-0.015133938,7.919604655,0.023414387,0.883199768,0.97913295,
,,,,,,,
Ote,2101,0.017624467,8.0617622,0.023350567,0.883357624,0.97913295,
,,,,,,,
Tgi,2860,-0.015174786,6.491945655,0.023338948,0.883386389,0.97913295,
,,,,,,,
MBD-like,753,0.014357887,4.47412196,0.023298372,0.883486893,0.97913295,
,,,,,,,
px,6831,-0.012759863,8.339183886,0.023189036,0.883758161,0.97913295,
,,,,,,,
ssh,3734,0.0427265,6.271230028,0.023097075,0.883986831,0.97913295,
,,,,,,,
pre-mod(mdg4)-K,613,0.023791741,3.074678422,0.023086113,0.884014121,0.97913295,
,,,,,,,
comm2,1526,0.016116707,3.826279676,0.023085163,0.884016486,0.97913295,
,,,,,,,
pps,2277,0.016652397,7.530920476,0.023061817,0.884074627,0.97913295,
,,,,,,,
Cctgamma_v2,931,0.018602558,7.260776231,0.023033757,0.884144549,0.97913295,
,,,,,,,
Hand,382,-0.01663909,4.280799983,0.023001358,0.884225337,0.97913295,
,,,,,,,
Arl4,2606,0.022977108,5.371244549,0.022842197,0.884623062,0.97913295,
,,,,,,,
wmd,1841,-0.013862541,6.815253907,0.022831205,0.884650584,0.97913295,
,,,,,,,
CG11984,3739,0.017736106,9.272114641,0.022797713,0.884734477,0.97913295,
,,,,,,,
CG18011,3343,0.01246587,7.736978853,0.022720705,0.884927616,0.97913295,
,,,,,,,
PP2A-B'_v2,1018,-0.035637863,1.078567746,0.022715998,0.88493943,0.97913295,
,,,,,,,
Crag,6929,0.018072828,7.824680489,0.022640424,0.88512932,0.97913295,
,,,,,,,
Tip60,1662,-0.016039768,7.430506336,0.022606324,0.885215107,0.97913295,
,,,,,,,
CG9306,588,0.020181391,5.667918257,0.022540367,0.885381226,0.97913295,
,,,,,,,
Srp9,299,-0.018551149,3.285068363,0.02249021,0.88550772,0.97913295,
,,,,,,,
crol_v6,2848,0.012968254,6.827693853,0.022368526,0.8858152,0.979165166,
,,,,,,,
Usp7_v2,5824,0.012050666,8.857825176,0.022336513,0.885896235,0.979165166,
,,,,,,,
Cctgamma,814,0.017505636,7.073698717,0.022246409,0.886124639,0.979165166,
,,,,,,,
ssp3,5461,-0.013966687,6.968157725,0.022244147,0.886130379,0.979165166,
,,,,,,,
polybromo,4930,0.012606165,8.511879306,0.022091125,0.886519383,0.979431008,
,,,,,,,
CG14234,3287,0.017656439,7.579469501,0.021932484,0.886924134,0.979612312,
,,,,,,,
Hen1,1282,0.016975192,4.764046142,0.021786184,0.88729873,0.979612312,
,,,,,,,
eIF3-S9,2430,-0.018009477,8.66982458,0.021774324,0.887329153,0.979612312,
,,,,,,,
CG7137,423,0.013430112,5.338928161,0.021774056,0.88732984,0.979612312,
,,,,,,,
CG9248,721,0.028818718,1.394432936,0.021736697,0.887425731,0.979612312,
,,,,,,,
CG7837,3239,-0.012485737,6.911002686,0.021640038,0.88767422,0.979688071,
,,,,,,,
CG2025,3185,0.014877337,5.909543749,0.02159458,0.887791282,0.979688071,
,,,,,,,
sea,1912,-0.01681408,8.258726011,0.021474263,0.888101722,0.979866788,
,,,,,,,
CG7789,1055,-0.020689745,5.256662846,0.021321195,0.888497957,0.980006753,
,,,,,,,
CG7220,922,-0.021925002,4.731636502,0.021278815,0.888607921,0.980006753,
,,,,,,,
AAEL001520-PA [Aedes aegypti] eval 3e-114,1908,-0.016293348,7.27469097,0.021253329,0.888674103,0.980006753,
,,,,,,,
gbb_v2,777,-0.012310323,8.054986485,0.021164235,0.888905785,0.980092025,
,,,,,,,
CG5482,2031,0.023074355,6.995900186,0.02104068,0.889227907,0.980092025,
,,,,,,,
wol,1229,-0.01296155,5.925256499,0.020997652,0.889340314,0.980092025,
,,,,,,,
SpdS,1204,0.012489861,6.670258185,0.020972312,0.889406567,0.980092025,
,,,,,,,
Gapdh2,1883,-0.016595697,10.57520805,0.020938882,0.889494035,0.980092025,
,,,,,,,
Nup133,3545,0.021757546,2.119277666,0.020751508,0.88998562,0.980357313,
,,,,,,,
Aats-lys,1760,-0.016181477,8.503261916,0.020698237,0.890125793,0.980357313,
,,,,,,,
CG11902,718,0.012497812,5.915177823,0.020677471,0.890180485,0.980357313,
,,,,,,,
kay,2485,0.012000749,8.050313252,0.020588178,0.89041598,0.980453037,
,,,,,,,
mud,1718,-0.041340537,5.664123989,0.020403499,0.890904705,0.9807689,
,,,,,,,
par-1,2126,-0.019055687,7.342137227,0.020355122,0.891033102,0.9807689,
,,,,,,,
cert,2482,-0.01219387,8.457066319,0.020311614,0.891148708,0.9807689,
,,,,,,,
CG2260,1846,-0.019593925,5.847051578,0.020200552,0.891444394,0.980836681,
,,,,,,,
CG5412,2710,0.012531277,7.338714746,0.020126447,0.891642148,0.980836681,
,,,,,,,
CG9649,1234,0.024624397,3.226480277,0.020050603,0.89184493,0.980836681,
,,,,,,,
Trs23,2661,-0.014718952,6.281158163,0.020046125,0.891856913,0.980836681,
,,,,,,,
CalpB,3726,0.012344493,5.632739285,0.019963573,0.892078102,0.980836681,
,,,,,,,
Vps2,1197,-0.016084987,5.750767882,0.019905612,0.892233682,0.980836681,
,,,,,,,
CG2701,2884,0.011518371,7.607332514,0.019818664,0.892467503,0.980836681,
,,,,,,,
GstE1 eval 9e-07,305,0.012651978,8.569375572,0.019816563,0.892473159,0.980836681,
,,,,,,,
CG1885,1235,-0.019345979,3.260946335,0.019773469,0.89258925,0.980836681,
,,,,,,,
CG3902,1962,-0.0161802,7.350815871,0.019702779,0.89277996,0.980836681,
,,,,,,,
Atg16,2931,-0.014976649,5.95075571,0.019615011,0.893017232,0.980836681,
,,,,,,,
Gmer,1056,-0.016476641,5.291906087,0.019607134,0.893038553,0.980836681,
,,,,,,,
Pgant35A,2574,-0.013163683,6.384623474,0.019539885,0.89322076,0.980836681,
,,,,,,,
Arl2,717,0.013800647,5.903338124,0.019508553,0.893305761,0.980836681,
,,,,,,,
FBgn0026196 eval 3e-07,266,-0.020484795,5.016593242,0.01940872,0.893577063,0.980836681,
,,,,,,,
mei-41,9916,0.015972397,7.203611079,0.019404539,0.893588442,0.980836681,
,,,,,,,
Zip102B,1576,0.014796509,5.087611129,0.019278144,0.893932996,0.980999234,
,,,,,,,
mbc,652,0.018557309,4.104911269,0.019220508,0.894090493,0.980999234,
,,,,,,,
CG7713,1008,0.014830527,5.588663167,0.019091374,0.894444249,0.980999234,
,,,,,,,
CG31195,4439,0.020226162,6.348287963,0.019049558,0.894559065,0.980999234,
,,,,,,,
CG7420,1382,0.013153352,4.463151182,0.019031453,0.894608816,0.980999234,
,,,,,,,
twf,1532,0.015241565,6.456127436,0.019024297,0.894628488,0.980999234,
,,,,,,,
aralar1,3049,-0.012631903,6.597915957,0.01888934,0.895000175,0.98114074,
,,,,,,,
CG11334,1393,0.011385621,6.743529276,0.018869513,0.895054895,0.98114074,
,,,,,,,
CG10470,641,0.011845706,5.42986545,0.018708836,0.895499432,0.981409403,
,,,,,,,
FBgn0024366 eval 5e-08,907,-0.011585782,7.299990421,0.018673511,0.895597427,0.981409403,
,,,,,,,
Tango6,2701,0.015301952,4.78177969,0.018519816,0.89602489,0.981551053,
,,,,,,,
CG3793,1101,0.012415229,6.392374882,0.018496418,0.896090125,0.981551053,
,,,,,,,
l(3)03670,992,0.015910656,7.876507806,0.018466743,0.896172919,0.981551053,
,,,,,,,
Nmt,1861,-0.011898794,7.750072512,0.018356705,0.896480526,0.981725023,
,,,,,,,
sty,1391,0.032958567,1.610079737,0.018243253,0.896798668,0.98174541,
,,,,,,,
CG15169 eval 6e-04,240,0.026568329,1.379384281,0.018229791,0.896836483,0.98174541,
,,,,,,,
pins,2618,0.020792659,6.64440114,0.018165124,0.89701834,0.98174541,
,,,,,,,
Lsm11,940,-0.014748107,3.688804276,0.018118391,0.897149972,0.98174541,
,,,,,,,
Cks30A,1100,0.010933745,7.391079251,0.018085399,0.897243001,0.98174541,
,,,,,,,
FBgn0030240 eval 8e-05,376,-0.033130404,1.358759724,0.017807287,0.898030691,0.982192282,
,,,,,,,
FBgn0037030 eval 2e-07,545,0.013469331,5.351685249,0.017778101,0.898113715,0.982192282,
,,,,,,,
Ptpa,1424,-0.015961023,6.463929147,0.017683794,0.898382468,0.982192282,
,,,,,,,
Cdc6,1838,0.011977436,8.438627624,0.017568627,0.898711659,0.982192282,
,,,,,,,
FK506-bp1,503,-0.016557975,8.342683729,0.017562711,0.898728598,0.982192282,
,,,,,,,
opm,1087,0.01217762,5.389650862,0.017558621,0.898740313,0.982192282,
,,,,,,,
Tsp26A,2649,0.016544834,6.345168588,0.017533538,0.898812176,0.982192282,
,,,,,,,
CG41128,452,0.012387641,4.913375438,0.017476077,0.898977,0.982192282,
,,,,,,,
E(z),3831,-0.012608913,8.437492081,0.01732698,0.899405976,0.982192282,
,,,,,,,
l(2)k10201,923,-0.020641035,6.086575656,0.017293954,0.89950125,0.982192282,
,,,,,,,
mod(mdg4)_v2,311,0.023489939,1.403067999,0.017263726,0.899588535,0.982192282,
,,,,,,,
AnxB10,2689,0.014230438,8.107931531,0.017182481,0.899823521,0.982192282,
,,,,,,,
CG6707,641,0.010631482,7.378615827,0.01711588,0.900016576,0.982192282,
,,,,,,,
nuf,2439,-0.012778219,6.249560286,0.017061791,0.900173645,0.982192282,
,,,,,,,
CG5694,3891,-0.016380256,7.817909112,0.017058627,0.900182839,0.982192282,
,,,,,,,
CG33054,658,0.017195377,4.627694837,0.017031323,0.90026223,0.982192282,
,,,,,,,
CG5381,2918,-0.021447711,5.931440531,0.016981341,0.900407731,0.982192282,
,,,,,,,
FBgn0000116 eval 2e-06,819,0.023519189,2.902684079,0.016946072,0.900510533,0.982192282,
,,,,,,,
enok,6296,-0.017866622,8.795956547,0.016939079,0.900530926,0.982192282,
,,,,,,,
Mocs2,364,0.011506153,7.897220002,0.016905748,0.900628201,0.982192282,
,,,,,,,
Nrx-IV,1086,0.02322947,2.081991396,0.016716392,0.901182683,0.982478653,
,,,,,,,
CG3744,3453,0.024273889,6.579868104,0.016648121,0.901383381,0.982478653,
,,,,,,,
CG6182,1229,-0.013904248,3.582027683,0.016524208,0.901748729,0.982478653,
,,,,,,,
CG1667,1624,-0.012717753,6.649748907,0.016512628,0.901782942,0.982478653,
,,,,,,,
Ubc7,919,-0.015588044,5.75564126,0.016473455,0.901898772,0.982478653,
,,,,,,,
Camta_v3,2571,0.027713743,2.583671027,0.016423269,0.902047372,0.982478653,
,,,,,,,
CG8207,1418,-0.011003258,5.755536151,0.01634316,0.90228505,0.982478653,
,,,,,,,
CG12391,1895,-0.013689462,7.905212672,0.01619845,0.90271591,0.982478653,
,,,,,,,
Als2,4728,0.020188984,6.616094063,0.016145002,0.902875541,0.982478653,
,,,,,,,
CG12155 eval 3e-05,688,-0.013063449,4.030229182,0.016098359,0.90301507,0.982478653,
,,,,,,,
Prosbeta2,1010,-0.014838171,7.152268569,0.015988626,0.903344136,0.982478653,
,,,,,,,
Atg6,1501,-0.019113422,5.561670829,0.015963787,0.903418783,0.982478653,
,,,,,,,
Klp68D,3170,0.011607151,8.249205322,0.015893117,0.903631488,0.982478653,
,,,,,,,
FBgn0037282 eval 6e-09,2290,-0.014771887,6.75147551,0.015873527,0.903690534,0.982478653,
,,,,,,,
CIAPIN1,1105,-0.013352437,6.475622868,0.015872073,0.903694917,0.982478653,
,,,,,,,
Tcp-1zeta,1803,-0.014397942,8.205076673,0.015833381,0.903811657,0.982478653,
,,,,,,,
Ranbp11,3208,0.015909917,6.741053788,0.015798112,0.903918193,0.982478653,
,,,,,,,
Sec31,1250,-0.015443187,5.884806615,0.015654956,0.904351876,0.982478653,
,,,,,,,
Pex2,986,0.011413058,5.10465695,0.015649142,0.90436953,0.982478653,
,,,,,,,
CG5706,1114,-0.012410474,8.748713723,0.015637724,0.904404214,0.982478653,
,,,,,,,
snk,984,0.025792539,1.563152399,0.023793301,0.90450448,0.982478653,
,,,,,,,
Meics_v7,2130,0.010732713,5.637202979,0.015592805,0.904540788,0.982478653,
,,,,,,,
shn,8739,0.011666644,7.9287096,0.015498763,0.90482736,0.982478653,
,,,,,,,
Nat1_v2,824,-0.013497538,6.559759861,0.015488988,0.9048572,0.982478653,
,,,,,,,
CG7394,531,0.016011503,5.160618912,0.015453668,0.904965092,0.982478653,
,,,,,,,
Rme-8,7950,-0.017484764,8.313543063,0.015377424,0.90519843,0.982478653,
,,,,,,,
CG10383,2925,-0.014413154,6.208401167,0.015368663,0.905225277,0.982478653,
,,,,,,,
pre-mod(mdg4)-AD,269,-0.025974246,1.349300092,0.015333514,0.905333078,0.982478653,
,,,,,,,
CG2064,1180,0.012843525,4.551577703,0.015208029,0.905718959,0.982478653,
,,,,,,,
CG4365,1026,0.012176621,7.100925652,0.015201945,0.905737708,0.982478653,
,,,,,,,
CG14710,1508,0.01312663,6.601336511,0.015186423,0.905785563,0.982478653,
,,,,,,,
Rok,5506,0.010367881,8.413844596,0.015134857,0.905944718,0.982478653,
,,,,,,,
CG11148_v2,4978,0.019842399,8.977146185,0.015119114,0.905993362,0.982478653,
,,,,,,,
par-1_v2,2358,0.016035597,6.813113832,0.015095956,0.906064968,0.982478653,
,,,,,,,
Aats-cys,2397,0.012573464,6.961146701,0.01507958,0.906115635,0.982478653,
,,,,,,,
RPA2,875,-0.01252347,7.168761399,0.01503601,0.906250577,0.982478653,
,,,,,,,
CG6812,1658,-0.011993459,5.445517839,0.014937625,0.906556028,0.982648362,
,,,,,,,
dom_v2,6470,-0.015548342,9.853196364,0.014881807,0.906729776,0.982675282,
,,,,,,,
CG5439,2016,0.011065042,6.165257679,0.014734877,0.907188727,0.983011233,
,,,,,,,
CG33713,1204,0.013632478,6.979058006,0.014603966,0.907599605,0.983215567,
,,,,,,,
CG6841,2913,0.010147235,6.665049105,0.014579916,0.907675289,0.983215567,
,,,,,,,
CG8728,1835,0.012356741,6.853508411,0.014433148,0.908138561,0.983462877,
,,,,,,,
DUBAI,2829,-0.010574334,8.302431959,0.014383673,0.908295264,0.983462877,
,,,,,,,
Rack1,1085,0.015663253,9.181109055,0.014366194,0.908350695,0.983462877,
,,,,,,,
Cdc37,387,0.013058023,5.399065265,0.01427255,0.908648235,0.983623639,
,,,,,,,
Ranbp9,3238,-0.009569276,9.29676439,0.014140367,0.909069926,0.983918721,
,,,,,,,
CG8677,8429,0.014197018,8.280813241,0.014058884,0.909330871,0.984039754,
,,,,,,,
SdhB,695,-0.010093137,6.63089131,0.013963257,0.909638092,0.984116185,
,,,,,,,
CG2789,1317,0.017134381,5.051651109,0.013944102,0.909699761,0.984116185,
,,,,,,,
CG1550,1870,0.010544585,5.686630811,0.013672358,0.9105793,0.9848123,
,,,,,,,
bbc,1765,-0.00996516,6.663726925,0.013612661,0.910773704,0.9848123,
,,,,,,,
ck_v2,6365,-0.016995725,7.99897076,0.013604234,0.910801181,0.9848123,
,,,,,,,
Best1,1268,-0.012985097,3.379906944,0.013556837,0.910955888,0.9848123,
,,,,,,,
CG10747,1412,0.013884227,4.667885093,0.013515994,0.911089421,0.9848123,
,,,,,,,
CG12106,725,0.012825876,5.154007952,0.013455095,0.911288909,0.984856723,
,,,,,,,
CG13926,874,-0.017522174,5.244382103,0.0133511,0.911630629,0.984856723,
,,,,,,,
CG14894_v2,802,0.012571792,4.967275699,0.013322482,0.911724902,0.984856723,
,,,,,,,
CG6294,2790,-0.009671625,5.680317036,0.013268458,0.911903151,0.984856723,
,,,,,,,
vtd,2449,-0.016023241,7.98131548,0.013245061,0.91198046,0.984856723,
,,,,,,,
CG6972,1939,-0.011662387,6.101332625,0.013231295,0.912025979,0.984856723,
,,,,,,,
insc,2776,0.012567197,4.376095724,0.013129445,0.912363512,0.98488409,
,,,,,,,
MED7,864,-0.010142187,6.005506933,0.013092269,0.912487043,0.98488409,
,,,,,,,
sip2_v3,1559,0.009958526,8.46097937,0.012906065,0.913108477,0.98488409,
,,,,,,,
CG31910 eval 1e-04,1182,0.012275121,5.889207365,0.012885401,0.913177723,0.98488409,
,,,,,,,
Ugt86Dd_v2,2036,-0.009737817,8.220777116,0.012858041,0.913269489,0.98488409,
,,,,,,,
CG5484,1377,-0.010308593,6.616754502,0.012785891,0.913511963,0.98488409,
,,,,,,,
CG14647,2865,-0.010514306,6.482110181,0.012771738,0.913559611,0.98488409,
,,,,,,,
P32,870,0.01046448,7.89840118,0.012737517,0.913674923,0.98488409,
,,,,,,,
CG4045,827,-0.012453998,5.231072074,0.012728576,0.913705077,0.98488409,
,,,,,,,
CG6583,934,-0.012162476,4.628122474,0.012648404,0.913975947,0.98488409,
,,,,,,,
Cdk7,1116,0.010961808,5.500076648,0.01262181,0.91406599,0.98488409,
,,,,,,,
CG11257,1906,0.01076297,4.518621311,0.012604807,0.914123607,0.98488409,
,,,,,,,
CG1309_v2,986,-0.01287691,6.037795943,0.012604688,0.914124011,0.98488409,
,,,,,,,
tmod,1663,-0.01668709,4.731674793,0.01259974,0.914140786,0.98488409,
,,,,,,,
CG9986,1624,-0.016398501,5.311975533,0.012397815,0.914828246,0.984921153,
,,,,,,,
CG6654_v3,1883,0.013508839,4.798710236,0.012381606,0.914883677,0.984921153,
,,,,,,,
CG12301,2670,0.011155872,7.273183094,0.012307743,0.915136732,0.984921153,
,,,,,,,
Naam_v3,690,-0.025137297,0.935200634,0.012283585,0.915219665,0.984921153,
,,,,,,,
CG5854,1713,0.01176225,7.420251669,0.012269479,0.915268126,0.984921153,
,,,,,,,
Vps60,515,0.011345859,5.629079261,0.012174742,0.915594343,0.984921153,
,,,,,,,
CG31549,979,0.009735411,6.849015335,0.012131014,0.915745347,0.984921153,
,,,,,,,
CG4407,1135,-0.01089624,3.985842491,0.012062302,0.91598319,0.984921153,
,,,,,,,
Gadd34,2300,-0.02458162,9.240944636,0.01203438,0.916080036,0.984921153,
,,,,,,,
CG31523,3182,-0.009012523,6.769606023,0.012024425,0.916114593,0.984921153,
,,,,,,,
Prosalpha4,2340,0.011294521,7.402098383,0.012022993,0.916119564,0.984921153,
,,,,,,,
CG17883,2655,0.009396146,7.089914568,0.011993188,0.916223118,0.984921153,
,,,,,,,
cutlet,2911,0.008932663,7.387034342,0.011970947,0.916300478,0.984921153,
,,,,,,,
CG10731,617,0.01074999,4.903631548,0.011906412,0.916525355,0.984921153,
,,,,,,,
MAGE,758,0.011097989,4.868174631,0.011888648,0.916587361,0.984921153,
,,,,,,,
Act42A eval 2e-06,312,0.012797415,8.081274771,0.011844636,0.916741196,0.984921153,
,,,,,,,
CG5921,2993,0.010079832,7.092896393,0.011795294,0.916914004,0.984921153,
,,,,,,,
Rbp2,745,-0.010438041,8.108241804,0.011745493,0.917088793,0.984921153,
,,,,,,,
